2026-06-17 00:14:48, tokens_remaining: 2009, call: scores, phase: playing
2026-06-17 00:14:49, tokens_remaining: 2009, call: scores, phase: playing
2026-06-17 00:14:50, tokens_remaining: 2008, call: scores, phase: playing
2026-06-17 00:14:52, tokens_remaining: 2007, call: events, phase: playing
2026-06-17 00:14:52, EVENT: GOAL 50' Ali Olwan (1-1) [Austria vs Jordan]
2026-06-17 00:14:53, tokens_remaining: 2006, call: scores, phase: playing
2026-06-17 00:14:54, tokens_remaining: 2006, call: scores, phase: playing
2026-06-17 00:14:55, tokens_remaining: 2005, call: scores, phase: playing
2026-06-17 00:14:56, tokens_remaining: 2005, call: scores, phase: playing
2026-06-17 00:14:57, tokens_remaining: 2004, call: scores, phase: playing
2026-06-17 00:14:58, tokens_remaining: 2004, call: scores, phase: playing
2026-06-17 00:14:59, tokens_remaining: 2003, call: scores, phase: playing
2026-06-17 00:15:00, tokens_remaining: 2003, call: scores, phase: playing
2026-06-17 00:15:01, tokens_remaining: 2002, call: scores, phase: playing
2026-06-17 00:15:03, tokens_remaining: 2001, call: events, phase: playing
2026-06-17 00:15:04, tokens_remaining: 2000, call: scores, phase: playing
2026-06-17 00:15:05, tokens_remaining: 2000, call: scores, phase: playing
2026-06-17 00:15:06, tokens_remaining: 1999, call: scores, phase: playing
2026-06-17 00:15:07, tokens_remaining: 1999, call: scores, phase: playing
2026-06-17 00:15:08, tokens_remaining: 1998, call: scores, phase: playing
2026-06-17 00:15:09, tokens_remaining: 1998, call: scores, phase: playing
2026-06-17 00:15:10, tokens_remaining: 1997, call: scores, phase: playing
2026-06-17 00:15:11, tokens_remaining: 1997, call: scores, phase: playing
2026-06-17 00:15:12, tokens_remaining: 1996, call: scores, phase: playing
2026-06-17 00:15:13, tokens_remaining: 1995, call: events, phase: playing
2026-06-17 00:15:15, tokens_remaining: 1994, call: scores, phase: playing
2026-06-17 00:15:15, tokens_remaining: 1994, call: scores, phase: playing
2026-06-17 00:15:17, tokens_remaining: 1993, call: scores, phase: playing
2026-06-17 00:15:18, tokens_remaining: 1993, call: scores, phase: playing
2026-06-17 00:15:19, tokens_remaining: 1992, call: scores, phase: playing
2026-06-17 00:15:20, tokens_remaining: 1992, call: scores, phase: playing
2026-06-17 00:15:21, tokens_remaining: 1991, call: scores, phase: playing
2026-06-17 00:15:22, tokens_remaining: 1991, call: scores, phase: playing
2026-06-17 00:15:23, tokens_remaining: 1990, call: scores, phase: playing
2026-06-17 00:15:24, tokens_remaining: 1989, call: events, phase: playing
2026-06-17 00:15:25, tokens_remaining: 1988, call: scores, phase: playing
2026-06-17 00:15:26, tokens_remaining: 1988, call: scores, phase: playing
2026-06-17 00:15:27, tokens_remaining: 1987, call: scores, phase: playing
2026-06-17 00:15:28, tokens_remaining: 1987, call: scores, phase: playing
2026-06-17 00:15:29, tokens_remaining: 1986, call: scores, phase: playing
2026-06-17 00:15:30, tokens_remaining: 1986, call: scores, phase: playing
2026-06-17 00:15:32, tokens_remaining: 1985, call: scores, phase: playing
2026-06-17 00:15:32, tokens_remaining: 1985, call: scores, phase: playing
2026-06-17 00:15:34, tokens_remaining: 1984, call: scores, phase: playing
2026-06-17 00:15:35, tokens_remaining: 1983, call: events, phase: playing
2026-06-17 00:15:36, tokens_remaining: 1982, call: scores, phase: playing
2026-06-17 00:15:37, tokens_remaining: 1982, call: scores, phase: playing
2026-06-17 00:15:38, tokens_remaining: 1981, call: scores, phase: playing
2026-06-17 00:15:39, tokens_remaining: 1981, call: scores, phase: playing
2026-06-17 00:15:40, tokens_remaining: 1980, call: scores, phase: playing
2026-06-17 00:15:41, tokens_remaining: 1980, call: scores, phase: playing
2026-06-17 00:15:42, tokens_remaining: 1979, call: scores, phase: playing
2026-06-17 00:15:43, tokens_remaining: 1979, call: scores, phase: playing
2026-06-17 00:15:44, tokens_remaining: 1978, call: scores, phase: playing
2026-06-17 00:15:46, tokens_remaining: 1977, call: events, phase: playing
2026-06-17 00:15:47, tokens_remaining: 1976, call: scores, phase: playing
2026-06-17 00:15:48, tokens_remaining: 1976, call: scores, phase: playing
2026-06-17 00:15:49, tokens_remaining: 1975, call: scores, phase: playing
2026-06-17 00:15:50, tokens_remaining: 1975, call: scores, phase: playing
2026-06-17 00:15:51, tokens_remaining: 1974, call: scores, phase: playing
2026-06-17 00:15:52, tokens_remaining: 1974, call: scores, phase: playing
2026-06-17 00:15:53, tokens_remaining: 1973, call: scores, phase: playing
2026-06-17 00:15:54, tokens_remaining: 1973, call: scores, phase: playing
2026-06-17 00:15:55, tokens_remaining: 1972, call: scores, phase: playing
2026-06-17 00:15:56, tokens_remaining: 1971, call: events, phase: playing
2026-06-17 00:15:57, tokens_remaining: 1970, call: scores, phase: playing
2026-06-17 00:15:58, tokens_remaining: 1970, call: scores, phase: playing
2026-06-17 00:15:59, tokens_remaining: 1969, call: scores, phase: playing
2026-06-17 00:16:00, tokens_remaining: 1969, call: scores, phase: playing
2026-06-17 00:16:02, tokens_remaining: 1968, call: scores, phase: playing
2026-06-17 00:16:02, tokens_remaining: 1968, call: scores, phase: playing
2026-06-17 00:16:04, tokens_remaining: 1967, call: scores, phase: playing
2026-06-17 00:16:04, tokens_remaining: 1967, call: scores, phase: playing
2026-06-17 00:16:06, tokens_remaining: 1966, call: scores, phase: playing
2026-06-17 00:16:07, tokens_remaining: 1965, call: events, phase: playing
2026-06-17 00:16:08, tokens_remaining: 1964, call: scores, phase: playing
2026-06-17 00:16:09, tokens_remaining: 1964, call: scores, phase: playing
2026-06-17 00:16:10, tokens_remaining: 1963, call: scores, phase: playing
2026-06-17 00:16:11, tokens_remaining: 1963, call: scores, phase: playing
2026-06-17 00:16:12, tokens_remaining: 1962, call: scores, phase: playing
2026-06-17 00:16:13, tokens_remaining: 1962, call: scores, phase: playing
2026-06-17 00:16:14, tokens_remaining: 1961, call: scores, phase: playing
2026-06-17 00:16:15, tokens_remaining: 1961, call: scores, phase: playing
2026-06-17 00:16:16, tokens_remaining: 1960, call: scores, phase: playing
2026-06-17 00:16:17, tokens_remaining: 1959, call: events, phase: playing
2026-06-17 00:16:19, tokens_remaining: 1958, call: scores, phase: playing
2026-06-17 00:16:19, tokens_remaining: 1958, call: scores, phase: playing
2026-06-17 00:16:21, tokens_remaining: 1957, call: scores, phase: playing
2026-06-17 00:16:22, tokens_remaining: 1957, call: scores, phase: playing
2026-06-17 00:16:23, tokens_remaining: 1956, call: scores, phase: playing
2026-06-17 00:16:24, tokens_remaining: 1956, call: scores, phase: playing
2026-06-17 00:16:25, tokens_remaining: 1955, call: scores, phase: playing
2026-06-17 00:16:26, tokens_remaining: 1955, call: scores, phase: playing
2026-06-17 00:16:27, tokens_remaining: 1954, call: scores, phase: playing
