2026-06-16 15:13:53, tokens_remaining: 1845, call: scores, phase: playing
2026-06-16 15:13:55, tokens_remaining: 1844, call: scores, phase: playing
2026-06-16 15:13:56, tokens_remaining: 1843, call: scores, phase: playing
2026-06-16 15:13:57, tokens_remaining: 1842, call: scores, phase: playing
2026-06-16 15:13:58, tokens_remaining: 1841, call: scores, phase: playing
2026-06-16 15:14:00, tokens_remaining: 1840, call: events, phase: playing
2026-06-16 15:14:01, tokens_remaining: 1839, call: scores, phase: playing
2026-06-16 15:14:02, tokens_remaining: 1838, call: scores, phase: playing
2026-06-16 15:14:04, tokens_remaining: 1837, call: scores, phase: playing
2026-06-16 15:14:05, tokens_remaining: 1836, call: scores, phase: playing
2026-06-16 15:14:06, tokens_remaining: 1835, call: scores, phase: playing
2026-06-16 15:14:07, tokens_remaining: 1834, call: scores, phase: playing
2026-06-16 15:14:09, tokens_remaining: 1833, call: scores, phase: playing
2026-06-16 15:14:10, tokens_remaining: 1832, call: scores, phase: playing
2026-06-16 15:14:11, tokens_remaining: 1831, call: scores, phase: playing
2026-06-16 15:14:13, tokens_remaining: 1830, call: events, phase: playing
2026-06-16 15:14:14, tokens_remaining: 1829, call: scores, phase: playing
2026-06-16 15:14:15, tokens_remaining: 1828, call: scores, phase: playing
2026-06-16 15:14:17, tokens_remaining: 1827, call: scores, phase: playing
2026-06-16 15:14:18, tokens_remaining: 1826, call: scores, phase: playing
2026-06-16 15:14:19, tokens_remaining: 1825, call: scores, phase: playing
2026-06-16 15:14:20, tokens_remaining: 1824, call: scores, phase: playing
2026-06-16 15:14:22, tokens_remaining: 1823, call: scores, phase: playing
2026-06-16 15:14:23, tokens_remaining: 1822, call: scores, phase: playing
2026-06-16 15:14:24, tokens_remaining: 1821, call: scores, phase: playing
2026-06-16 15:14:26, tokens_remaining: 1820, call: events, phase: playing
2026-06-16 15:14:27, tokens_remaining: 1819, call: scores, phase: playing
2026-06-16 15:14:28, tokens_remaining: 1818, call: scores, phase: playing
2026-06-16 15:14:30, tokens_remaining: 1817, call: scores, phase: playing
2026-06-16 15:14:31, tokens_remaining: 1816, call: scores, phase: playing
2026-06-16 15:14:32, tokens_remaining: 1815, call: scores, phase: playing
2026-06-16 15:14:33, tokens_remaining: 1814, call: scores, phase: playing
2026-06-16 15:14:35, tokens_remaining: 1813, call: scores, phase: playing
2026-06-16 15:14:36, tokens_remaining: 1812, call: scores, phase: playing
2026-06-16 15:14:38, tokens_remaining: 1811, call: scores, phase: playing
2026-06-16 15:14:39, tokens_remaining: 1810, call: events, phase: playing
2026-06-16 15:14:40, tokens_remaining: 1809, call: scores, phase: playing
2026-06-16 15:14:41, tokens_remaining: 1808, call: scores, phase: playing
2026-06-16 15:14:43, tokens_remaining: 1807, call: scores, phase: playing
2026-06-16 15:14:44, tokens_remaining: 1806, call: scores, phase: playing
2026-06-16 15:14:45, tokens_remaining: 1805, call: scores, phase: playing
2026-06-16 15:14:47, tokens_remaining: 1804, call: scores, phase: playing
2026-06-16 15:14:48, tokens_remaining: 1803, call: scores, phase: playing
2026-06-16 15:14:49, tokens_remaining: 1802, call: scores, phase: playing
2026-06-16 15:14:50, tokens_remaining: 1801, call: scores, phase: playing
2026-06-16 15:14:52, tokens_remaining: 1800, call: events, phase: playing
2026-06-16 15:14:53, tokens_remaining: 1799, call: scores, phase: playing
2026-06-16 15:14:54, tokens_remaining: 1798, call: scores, phase: playing
2026-06-16 15:14:56, tokens_remaining: 1797, call: scores, phase: playing
2026-06-16 15:14:57, tokens_remaining: 1796, call: scores, phase: playing
2026-06-16 15:14:58, tokens_remaining: 1795, call: scores, phase: playing
2026-06-16 15:14:59, tokens_remaining: 1794, call: scores, phase: playing
2026-06-16 15:15:01, tokens_remaining: 1793, call: scores, phase: playing
2026-06-16 15:15:02, tokens_remaining: 1792, call: scores, phase: playing
2026-06-16 15:15:03, tokens_remaining: 1791, call: scores, phase: playing
2026-06-16 15:15:05, tokens_remaining: 1790, call: events, phase: playing
2026-06-16 15:15:06, tokens_remaining: 1789, call: scores, phase: playing
2026-06-16 15:15:08, tokens_remaining: 1788, call: scores, phase: playing
2026-06-16 15:15:10, tokens_remaining: 1787, call: scores, phase: playing
2026-06-16 15:15:12, tokens_remaining: 1786, call: scores, phase: playing
2026-06-16 15:15:13, tokens_remaining: 1785, call: scores, phase: playing
2026-06-16 15:15:14, tokens_remaining: 1784, call: scores, phase: playing
2026-06-16 15:15:16, tokens_remaining: 1783, call: scores, phase: playing
2026-06-16 15:15:17, tokens_remaining: 1782, call: scores, phase: playing
